x,y,theta,hue_rad,saturation,is_anomaly
-0.204072,-0.426601,0.422910,2.691955,0.560278,0
-0.292365,-0.161514,0.491374,2.090824,0.538807,0
-0.451263,-0.367681,0.255474,2.204763,0.735610,0
-0.182398,-0.408076,0.448779,2.710114,0.530982,0
-0.265469,-0.138242,0.513969,2.037568,0.507758,0
-0.424501,-0.340770,0.262681,2.201886,0.699608,0
-0.158648,-0.385135,0.479619,2.718942,0.526506,0
-0.241804,-0.113902,0.515156,2.022765,0.494349,0
-0.400608,-0.315122,0.253163,2.199385,0.680750,0
-0.138107,-0.362270,0.491659,2.724785,0.513469,0
-0.219880,-0.092630,0.510563,2.257021,0.558321,0
-0.377131,-0.294098,0.246272,2.187529,0.658534,0
-0.115851,-0.341754,0.492782,2.747656,0.463329,0
-0.196384,-0.071593,0.529794,1.936019,0.446894,0
-0.353445,-0.272563,0.255308,2.180284,0.637771,0
-0.092723,-0.321488,0.511562,2.774768,0.456045,0
-0.168977,-0.047393,0.555279,1.846257,0.401984,0
-0.326210,-0.247116,0.276218,2.172066,0.572564,0
-0.067340,-0.297880,0.541446,2.801880,0.458398,0
-0.153393,-0.035017,0.543397,1.711634,0.377186,0
-0.312366,-0.237043,0.262663,2.157269,0.592517,0
-0.054049,-0.285190,0.527257,2.868067,0.456733,0
-0.141503,-0.022477,0.533074,1.670379,0.366744,0
-0.298224,-0.224124,0.269683,2.154064,0.591441,0
-0.039100,-0.271088,0.532742,2.892094,0.454092,0
-0.134168,-0.010651,0.534666,1.586115,0.336422,0
-0.287989,-0.212504,0.266927,2.156081,0.582218,0
-0.029224,-0.257684,0.527745,2.914330,0.423963,0
-0.126170,0.000260,0.538395,1.515687,0.330294,0
-0.280513,-0.201313,0.257709,2.136515,0.566596,0
-0.020016,-0.243950,0.532595,2.958557,0.433291,0
-0.120408,0.010133,0.530648,1.472439,0.317229,0
-0.274844,-0.190837,0.255120,2.119501,0.572292,0
-0.013231,-0.231982,0.537841,2.987139,0.420308,0
-0.115375,0.020635,0.521107,1.400007,0.309806,0
-0.268778,-0.178425,0.249463,2.093262,0.567619,0
-0.006842,-0.220254,0.536894,3.007912,0.417714,0
-0.109716,0.030579,0.520990,1.204970,0.312654,0
-0.262314,-0.168731,0.247827,2.072986,0.568901,0
-0.000519,-0.207720,0.539317,3.024606,0.405262,0
-0.105069,0.040220,0.516335,1.024832,0.332761,0
-0.256167,-0.159269,0.241469,2.058466,0.562507,0
0.005578,-0.196776,0.539109,3.055350,0.404757,0
-0.100211,0.048160,0.516833,0.983476,0.330032,0
-0.249102,-0.151352,0.242464,2.053942,0.552662,0
0.012058,-0.187114,0.538736,3.127286,0.388224,0
-0.094929,0.055293,0.513075,0.912432,0.348421,0
-0.242861,-0.144100,0.240913,2.040791,0.555784,0
0.018242,-0.179282,0.540851,3.152104,0.399407,0
-0.089305,0.062528,0.506193,0.812397,0.345255,0
-0.236892,-0.137767,0.235482,2.039327,0.559963,0
0.023952,-0.171755,0.541001,3.203765,0.370175,0
-0.082727,0.066414,0.500182,0.789558,0.333894,0
-0.229477,-0.131616,0.233612,2.019246,0.561111,0
0.029984,-0.165410,0.541594,3.234772,0.352860,0
-0.077738,0.068785,0.501384,0.687739,0.323997,0
-0.222661,-0.127830,0.230737,2.015589,0.546857,0
0.035717,-0.160898,0.538999,3.258623,0.346620,0
-0.073132,0.071672,0.494175,0.604769,0.315118,0
-0.216311,-0.124465,0.226747,2.010374,0.537274,0
0.042073,-0.157537,0.531906,3.270536,0.354829,0
-0.068911,0.074854,0.483909,0.551620,0.310676,0
-0.209705,-0.122029,0.221823,2.009727,0.520761,0
0.048005,-0.153960,0.525809,3.294318,0.344706,0
-0.065421,0.077490,0.475476,0.524212,0.308831,0
-0.204112,-0.118735,0.218652,2.015822,0.522687,0
0.052551,-0.151585,0.521946,3.336114,0.343154,0
-0.061624,0.079199,0.473868,0.491169,0.306413,0
-0.198401,-0.117489,0.215434,2.031737,0.520499,0
0.055656,-0.149722,0.521043,3.404701,0.344628,0
-0.057181,0.080837,0.473870,0.458120,0.306377,0
-0.193040,-0.115350,0.209066,2.032453,0.506612,0
0.059866,-0.147600,0.517461,3.385965,0.347321,0
-0.053196,0.082814,0.470114,0.402828,0.303696,0
-0.187814,-0.113505,0.201301,2.047420,0.487535,0
0.065284,-0.145235,0.514511,3.446899,0.341281,0
-0.048865,0.084443,0.467508,0.350985,0.301530,0
-0.182769,-0.110835,0.192219,2.042946,0.481019,0
0.070556,-0.142452,0.510802,3.498760,0.331070,0
-0.045008,0.085980,0.469115,0.287757,0.290591,0
-0.177821,-0.109464,0.190646,2.052271,0.486415,0
0.075070,-0.139986,0.508421,3.515913,0.331232,0
-0.040965,0.088177,0.465669,0.269988,0.289547,0
-0.172715,-0.108858,0.189298,2.074375,0.487657,0
0.079567,-0.138278,0.509673,3.526029,0.332619,0
-0.038516,0.090372,0.462653,0.262826,0.288384,0
-0.167859,-0.107704,0.187087,2.092690,0.490178,0
0.083131,-0.136546,0.512237,3.552972,0.333945,0
-0.036183,0.090870,0.461320,0.249688,0.295579,0
-0.163139,-0.106813,0.185008,2.103680,0.480562,0
0.087689,-0.135178,0.514564,3.584582,0.341233,0
-0.034180,0.092002,0.457298,0.228475,0.305911,0
-0.159059,-0.104916,0.179926,2.102800,0.477045,0
0.091135,-0.133632,0.517113,3.647402,0.347619,0
