environment,primitive,field_mode,radius,avg_dist_origin,std_dist_origin,avg_dist_to_est_center,std_dist_to_est_center,est_center_x_mean,est_center_x_std,est_center_y_mean,est_center_y_std
saddle1,3R_orbiter_plane,analytical,0.5,0.5372696723294023,0.009534369006560121,0.5372696723294024,0.009534369006560144,1.2127015851853777e-17,1.7619069812961331e-16,-9.406771382383588e-18,1.489314253865773e-16
saddle1,3R_orbiter_plane,analytical,0.6,0.6369118302592139,0.019855843539151808,0.6369118302592139,0.019855843539151822,-3.487712384631552e-17,1.019416563223386e-15,2.7870755598719724e-17,2.6330569092939383e-16
saddle1,3R_orbiter_plane,nn,0.1,0.1992790946188634,0.0307049919699238,0.20564776525462908,0.04822138732806113,-0.002527389778513264,0.04879508484617788,-0.005573046948644287,0.038408942866037986
saddle1,3R_orbiter_plane,nn,0.2,0.26843692191369833,0.03041753735432722,0.2733263566830711,0.06886220995765019,-0.012117262498702147,0.04524534514396758,-0.01591755004745477,0.07000928910698476
saddle1,3R_orbiter_plane,nn,0.3,0.3683222061100896,0.045666733171641376,0.3754835180572421,0.1610608987749545,-0.011870737653380379,0.18077836603820366,-0.010468232701718509,0.06298393069284411
saddle1,3R_orbiter_plane,nn,0.4,0.4331635417182189,0.05410619799941363,0.5149020787981897,1.3256299616664977,-0.026521669817247174,0.26435717493635996,0.06516893502400846,1.3503977547304495
saddle1,3R_orbiter_plane,nn,0.5,0.5038880264569934,0.0600630767619786,0.5284344178766226,0.14758257172623912,-0.006325950267817904,0.12552918849181965,-0.007179487068721815,0.108435642093747
saddle1,3R_orbiter_plane,nn,0.6,0.5584138116396885,0.0676309614243788,0.6527496187298066,0.1702333019633636,-0.003515838445673818,0.21317928131312128,-0.009437927281689832,0.1427443593515815
saddle1,3R_orbiter_plane,rbf,0.1,0.17411339493704925,0.026309963207577593,0.33679520227926685,1.273601017825025,0.020869960937345777,1.2728369089461233,0.0125303679038548,0.2955079784775147
saddle1,3R_orbiter_plane,rbf,0.2,0.29517170772933554,0.043085812552445625,0.6937397560644051,3.6915930420083476,0.06940395422867174,2.0422162081613715,0.23596381371894692,3.1366185817873062
saddle1,3R_orbiter_plane,rbf,0.3,0.3095949705095379,0.04944718161991898,0.7023763781709449,2.2810576217114753,0.05611705720411152,2.052998701218724,-0.03379973116370767,1.161061355305577
saddle1,3R_orbiter_plane,rbf,0.4,0.6835315518015114,0.24740113980750497,13.597178363446707,45.72815049281462,-0.03377415421272323,11.081899364767494,-0.4868366897894161,46.386464648549705
saddle1,3R_orbiter_plane,rbf,0.5,0.7192722284649293,0.3889464513588991,2.619778409845996,7.358091583104044,1.082188736792696,3.7290931199729,1.286720630062476,6.94425008927761
saddle1,3R_orbiter_plane,rbf,0.6,1.0332360454197438,0.37940463558724347,58.00153975104968,111.60363843078176,-1.3510421943022948,10.223890583512425,17.001702959306034,124.01224760497185
saddle1,4R_orbiter_planar,analytical,0.1,0.20227045245058498,0.020185016532042962,0.20227045245058498,0.020185016532042965,8.058958473528078e-19,2.284655330349342e-17,2.908771954969137e-18,2.3814998154320812e-17
